City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avera,US,86.05,overcast clouds,33.194,-82.5271,
9,Champerico,GT,78.96,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
11,Kahului,US,82.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
13,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
17,Dingle,PH,87.89,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
21,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Chifeng,CN,80.82,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
31,Hovd,MN,75.72,light rain,48.0056,91.6419,Hotel Khovd
36,Sisophon,KH,87.71,overcast clouds,13.5859,102.9737,Pyramid Hotel
37,Kavaratti,IN,83.3,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
39,Bridgetown,BB,82.89,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
46,Kuching,MY,79.02,light rain,1.55,110.3333,Hilton Kuching
47,San Patricio,US,84.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
54,Cockburn Town,TC,81.3,few clouds,21.4612,-71.1419,Osprey Beach Hotel
55,Hamilton,US,84.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
61,Fairhope,US,85.75,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
66,Kashi,CN,81.61,few clouds,39.4547,75.9797,帕米尔青年旅舍
73,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
83,Dibulla,CO,77.95,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
86,Cabo San Lucas,MX,87.1,scattered clouds,22.8909,-109.9124,Vista Roof Restaurant
89,Beidao,CN,83.25,scattered clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
90,Sacramento,US,85.32,clear sky,38.4666,-121.3177,Manda’s House oly 100 sqft
94,Atuona,PF,77.86,broken clouds,-9.8,-139.0333,Villa Enata
96,Waki,JP,79.02,overcast clouds,34.0667,134.15,油屋美馬館
100,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Base Lodging
102,Sijunjung,ID,82.9,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
104,Shimoda,JP,77.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
105,Jamestown,US,78.06,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
110,Ikryanoye,RU,76.98,overcast clouds,46.0932,47.7308,Country House Е119
111,Hithadhoo,MV,81.64,overcast clouds,-0.6,73.0833,Scoop Guest House
117,Bambanglipuro,ID,84.15,scattered clouds,-7.95,110.2833,Puri Brata
119,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
120,Minatitlan,MX,76.53,overcast clouds,17.9833,-94.5167,Grand Regency Express
125,Aksu,CN,85.91,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
131,Sakaiminato,JP,82.38,few clouds,35.55,133.2333,Italian pasley
135,Kavieng,PG,84.81,broken clouds,-2.5744,150.7967,Nusa Island Retreat
140,Butaritari,KI,82.31,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
141,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
144,Laguna,US,85.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
151,San Andres,CO,80.62,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
153,Luorong,CN,77.16,overcast clouds,24.4058,109.6086,荣立大酒店
155,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
157,Sur,OM,89.29,clear sky,22.5667,59.5289,Sur Plaza Hotel
158,Baruun-Urt,MN,75.11,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
159,Thinadhoo,MV,83.25,overcast clouds,0.5333,72.9333,
160,Payakumbuh,ID,83.14,broken clouds,-0.2202,100.6308,Dalimo Homestay
163,Mackay,AU,79.68,clear sky,-21.15,149.2,International Lodge Motel
167,Aurora,US,76.68,clear sky,39.7294,-104.8319,Best Western Plus Gateway Inn & Suites
168,Faanui,PF,80.71,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
176,Port Keats,AU,88.14,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
177,Emba,KZ,75.69,clear sky,48.8264,58.1442,
179,Karratha,AU,81.41,broken clouds,-20.7377,116.8463,ibis Styles Karratha
182,Tamiahua,MX,80.08,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
185,Lucea,JM,78.66,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
188,Adrar,MR,88.38,few clouds,20.5022,-10.0711,
192,Lumphat,KH,87.35,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
193,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
197,Presidente Medici,BR,76.44,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
199,Kendari,ID,81.77,broken clouds,-3.945,122.4989,Hotel Wixel
202,Bengkulu,ID,82.54,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
203,Sinjar,IQ,78.26,clear sky,36.3209,41.8754,زوماني فون 1
207,Vanavara,RU,76.37,overcast clouds,60.34,102.2797,
213,Mudu,CN,86.88,clear sky,31.252,120.5118,Jinjiang Inn
215,Umm Lajj,SA,80.51,clear sky,25.0213,37.2685,Moon light Furnished Units
217,Lamu,KE,76.78,light rain,-2.2717,40.902,Lamu House
219,Basco,PH,85.33,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
221,Moerai,PF,75.94,overcast clouds,-22.4333,-151.3333,Le Manotel
226,Nador,MA,75.45,light rain,35.174,-2.9287,Hôtel La Giralda
235,Freetown,SL,77.52,light rain,8.484,-13.2299,The Country Lodge Hotel
237,Vero Beach,US,82.99,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
239,Dogondoutchi,NE,86.43,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
244,Porto Novo,BJ,75.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
246,Shingu,JP,77.14,overcast clouds,33.7333,135.9833,Shingu UI Hotel
258,Alugan,PH,86.2,scattered clouds,12.2188,125.4808,JM Lodge
260,Tual,ID,81.82,broken clouds,-5.6667,132.75,Grand Vilia Hotel
262,Kota Belud,MY,87.48,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
263,Chhabra,IN,78.46,overcast clouds,24.6667,76.8333,ROYAL PALACE GARDEN
267,Naze,JP,76.12,light rain,28.3667,129.4833,Shishime Hotel
268,Mitsamiouli,KM,77.54,clear sky,-11.3847,43.2844,Foyer ADM
275,Lensk,RU,80.76,scattered clouds,60.7253,114.9278,ТинОрС
278,Carolina,PR,82.29,scattered clouds,18.3808,-65.9574,Motel Fantasy Star
283,Tagusao,PH,86.79,overcast clouds,9.1924,117.8141,Caycay future beach resort
290,Key West,US,87.8,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
293,Vanimo,PG,86.67,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
296,Shagamu,NG,76.78,broken clouds,6.8432,3.6478,Remo Majestic Hotel
300,Buala,SB,82.72,light rain,-8.145,159.5921,Maringe Lagoon Lodge
302,Sinnamary,GF,76.33,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
306,Goderich,CA,84.52,broken clouds,43.7501,-81.7165,Harmony Inn
308,Sao Jose Da Coroa Grande,BR,75.0,light rain,-8.8978,-35.1478,Crôa Mares Hotel
310,Barra Patuca,HN,76.84,overcast clouds,15.8,-84.2833,
313,Broome,US,75.58,scattered clouds,42.2506,-75.833,Chenango Valley State Park
315,Kijang,KR,78.53,clear sky,35.2442,129.2139,Samyang Beach Villa
316,Ypsonas,CY,75.27,clear sky,34.6884,32.9574,Club Aphrodite
322,Port Blair,IN,84.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
329,Kokopo,PG,85.28,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
332,Princeton,US,84.0,clear sky,25.5384,-80.4089,American Best Inn
337,El Rosario,MX,80.78,overcast clouds,24.2556,-107.1828,Mi casa
339,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
340,Zhuhai,CN,85.86,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
341,Akdepe,TM,77.09,few clouds,42.0551,59.3788,
342,Samarkand,UZ,80.02,clear sky,39.6542,66.9597,Ideal Hotel
363,Sola,VU,84.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
366,Garowe,SO,75.78,broken clouds,8.4054,48.4845,Curubo Hotel
374,Hobyo,SO,77.97,broken clouds,5.3505,48.5268,Iftin hotel hobyo
377,Marabba,SD,79.63,overcast clouds,12.35,32.1833,
380,Bourail,NC,79.61,overcast clouds,-21.5667,165.4833,Motel Allamanda
381,Labuhan,ID,84.99,broken clouds,-6.8844,112.2051,DoubleFAG
389,Noumea,NC,80.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
391,Sigli,ID,81.25,overcast clouds,5.3848,95.9609,Losmen Dua Mali
392,Iwaki,JP,79.77,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
395,Pangkalanbuun,ID,86.2,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
396,Erenhot,CN,81.91,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
398,Lingao,CN,87.66,broken clouds,19.9103,109.6859,Lingao Ditai Inn
399,Iralaya,HN,75.42,overcast clouds,15.0,-83.2333,Iglesia morava renovada
401,Waingapu,ID,85.42,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
403,Cape Canaveral,US,84.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
404,Kidal,ML,82.49,overcast clouds,18.4411,1.4078,
409,Beecher,US,83.88,clear sky,43.09,-83.6944,"Holt's Mobile Home Court, Sales and RV Park"
410,Paredon,MX,79.79,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
412,Buchanan,LR,76.05,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
415,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
416,Bay City,US,84.31,haze,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
417,Khuzdar,PK,82.56,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
419,Tawau,MY,82.53,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
420,Dakar,SN,78.93,scattered clouds,14.6937,-17.4441,Novotel Dakar
421,Finschhafen,PG,85.39,scattered clouds,-6.6024,147.8681,Cossam Guest House
425,Laiyang,CN,80.69,overcast clouds,36.9758,120.7136,莱阳恒银宾馆
431,Zhangye,CN,89.01,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
434,Road Town,VG,82.49,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
435,Nishihara,JP,78.46,heavy intensity shower rain,26.1842,127.7558,Minshuku Agaihama
438,Owasso,US,85.12,broken clouds,36.2695,-95.8547,Hampton Inn & Suites Tulsa North/Owasso
441,Padang,ID,84.25,broken clouds,-0.9492,100.3543,Mercure Padang
442,Bousso,TD,82.04,scattered clouds,10.4795,16.7117,
445,Kalmunai,LK,79.77,moderate rain,7.4167,81.8167,VS Villa
448,Lazaro Cardenas,MX,80.65,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
449,Nago,JP,79.23,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
451,Tomatlan,MX,75.79,overcast clouds,19.9333,-105.25,El Salvial
452,Qinzhou,CN,81.9,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
456,Pathein,MM,85.95,overcast clouds,16.7833,94.7333,Pathein Hotel
458,Manokwari,ID,83.84,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
459,Tarakan,ID,78.3,heavy intensity rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
461,Coahuayana,MX,78.91,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
463,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
464,Elizabeth City,US,75.22,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
467,Matara,LK,80.96,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
469,Marawi,PH,82.71,few clouds,7.9986,124.2928,Derogongan Residence
474,Namatanai,PG,83.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
478,Sidi Ali,DZ,80.65,overcast clouds,36.0998,0.4206,Complexe touristique haje bezine
481,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
486,Yeppoon,AU,76.78,clear sky,-23.1333,150.7333,Villa Mar Colina
491,Koumac,NC,80.2,scattered clouds,-20.5667,164.2833,Le Monitel
494,Hirara,JP,82.67,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
499,Callaguip,PH,87.82,broken clouds,18.0714,120.4867,Pangil Beach Resort
500,Herat,AF,87.78,clear sky,34.5,62.0,
503,Puqi,CN,88.56,overcast clouds,29.7167,113.8833,Ramada Plaza Chibi
506,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
508,Thai Binh,VN,87.82,overcast clouds,20.45,106.3333,Sweden Hotel
509,Gladstone,AU,75.13,broken clouds,-23.85,151.25,Highpoint International Hotel
516,Datong,CN,78.67,broken clouds,40.0936,113.2914,Holiday Inn Datong City Centre
519,Houma,US,84.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
520,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
525,Tevaitoa,PF,80.44,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
526,Lorengau,PG,85.57,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
527,Springdale,US,80.78,broken clouds,36.1867,-94.1288,Springdale Inn
534,Chaman,PK,87.82,clear sky,30.9236,66.4512,Niamat parda Center chaman
538,Srandakan,ID,84.31,scattered clouds,-7.9386,110.2506,Puri Brata
540,Bafq,IR,89.11,clear sky,31.6128,55.4107,Alamdar Hotel
541,Kudat,MY,89.53,few clouds,6.8837,116.8477,Dream Garden Hotel
545,Wajima,JP,77.68,broken clouds,37.4,136.9,Wajiima Onsen Yashio
546,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
552,Key Largo,US,82.99,broken clouds,25.0865,-80.4473,Bayside Inn Key Largo
554,Monrovia,LR,76.93,light rain,6.3005,-10.7969,Sunset Inn
557,Sungairaya,ID,82.63,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
558,Gazanjyk,TM,86.77,broken clouds,39.2446,55.5154,Railway motel
559,Lae,PG,84.87,few clouds,-6.7221,146.9847,Phils Hotel
564,Banjar,ID,83.37,overcast clouds,-8.19,114.9675,The Hamsa Resort
565,Mangrol,IN,86.2,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
566,Mandiana,GN,75.74,broken clouds,10.6333,-8.6833,Motels rouzo
567,Kapit,MY,89.19,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
570,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
574,Victoria,HK,86.97,light rain,22.2855,114.1577,Mini Central
575,Havelock,US,78.78,clear sky,34.8791,-76.9013,Sherwood Motel
577,Biabou,VC,79.81,overcast clouds,13.2,-61.1333,Spring Garden Resort
579,Mahibadhoo,MV,83.28,overcast clouds,3.7833,72.9667,Omadhoo Inn
580,Tubuala,PA,78.53,broken clouds,9.5167,-79.0333,
582,Hambantota,LK,79.14,light rain,6.1241,81.1185,Bungalow 63
587,Malayal,PH,87.6,broken clouds,7.208,121.942,
590,Mormugao,IN,82.78,overcast clouds,15.4,73.8,Coconut Creek Resort
593,Dwarka,IN,86.29,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
600,Nioro,GM,78.91,broken clouds,13.35,-15.75,
601,San Angelo,US,89.82,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
603,Trincomalee,LK,83.82,overcast clouds,8.5711,81.2335,Welcombe Hotel
610,Meulaboh,ID,80.73,overcast clouds,4.1363,96.1285,Kost Pria
616,Yerbogachen,RU,76.6,few clouds,61.2767,108.0108,
619,Poquoson,US,75.99,few clouds,37.1224,-76.3458,Whitehouse Cove
626,Jaisalmer,IN,88.86,clear sky,26.9147,70.9181,Hotel Fifu
627,Yueyang,CN,86.99,overcast clouds,29.3333,113.0919,Delong Fortune Hotel
629,Sorong,ID,82.76,few clouds,-0.8833,131.25,Waigo Splash Hotel
637,Caucaia,BR,78.75,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
640,Sao Jose De Ribamar,BR,80.98,overcast clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
643,Shahreza,IR,78.66,clear sky,32.0339,51.8794,خوابگاه
644,Acapulco,MX,75.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
649,Samarai,PG,80.78,heavy intensity rain,-10.6167,150.6667,Nuli Sapi
650,Bilma,NE,85.32,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
651,Kirksville,US,82.35,scattered clouds,40.1948,-92.5833,Budget Host-Village Inn
654,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
655,Jambi,ID,84.6,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
656,Warora,IN,89.22,overcast clouds,20.2333,79.0,Datta mandir ward
658,Kassala,SD,80.49,overcast clouds,15.451,36.4,Amassi Hotel Gash
659,Kaduqli,SD,75.13,light rain,11.0167,29.7167,Nussyba
663,Krasnyy Chikoy,RU,80.24,light rain,50.3643,108.7512,Persona
664,Poya,NC,80.06,broken clouds,-21.35,165.15,
665,Najran,SA,75.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
668,Pabna,BD,88.83,overcast clouds,24.0,89.25,Hotel Dream Palace International
670,Mut,TR,75.56,clear sky,36.6439,33.4389,Konak Otel
671,Bud,US,84.22,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
673,Batticaloa,LK,80.22,light rain,7.7102,81.6924,Grand Star Guest House
675,Boyolangu,ID,84.72,light rain,-8.1181,111.8935,Yos ega cv
679,Springfield,US,81.03,few clouds,37.2153,-93.2982,Best Western Route 66 Rail Haven
680,Riyadh,SA,82.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
681,Port Hedland,AU,84.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
690,Mecca,SA,84.7,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
691,Marsh Harbour,BS,80.69,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
692,Guanica,PR,82.06,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
694,Phonhong,LA,84.45,overcast clouds,18.5007,102.4166,Manyvong Guest House
695,Honiara,SB,85.53,broken clouds,-9.4333,159.95,Heritage Park Hotel
697,Kerema,PG,84.07,broken clouds,-7.9631,145.7785,Frena Lodge
698,Kanniyakumari,IN,83.71,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
702,Chabahar,IR,84.15,clear sky,25.2919,60.643,هتل گدروشیا
703,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
704,Gigmoto,PH,87.71,broken clouds,13.7796,124.39,Cj's Travellers Inn
706,Agadez,NE,85.73,overcast clouds,19.75,10.25,
707,Moratuwa,LK,78.82,moderate rain,6.773,79.8816,Sa Mansion By Yoho
708,Fare,PF,80.47,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
711,Tucumcari,US,89.44,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
712,Kuliyapitiya,LK,78.48,overcast clouds,7.4688,80.0401,Rest House
